sex_id,age_group_id,cat,mortality_hazard
1,4,cat1,0.10486554356310707
1,4,cat2,0.027809665525570293
1,4,cat3,0.007995417157985685
1,4,cat4,0.0013233016480936888
1,5,cat1,0.04492023891929009
1,5,cat2,0.011453919105546606
1,5,cat3,0.003235723111975952
1,5,cat4,0.0005747686990638101
2,4,cat1,0.07694508246990339
2,4,cat2,0.02094247729318366
2,4,cat3,0.006014960620569054
2,4,cat4,0.0010057402946603844
2,5,cat1,0.031197569053897367
2,5,cat2,0.008141744371930382
2,5,cat3,0.002294479087634693
2,5,cat4,0.00041867024693609256
3,4,cat1,0.09150028624830409
3,4,cat2,0.024506695605074236
3,4,cat3,0.0070417095482868675
3,4,cat4,0.001170284101676966
3,5,cat1,0.038267275565897485
3,5,cat2,0.009842859792634218
3,5,cat3,0.0027776137276660506
3,5,cat4,0.0004987599784650465
